Town,Population_young,at_least_one_young,percent_young,Population_old,at_least_one_old,percent_old,percent_difference,absolute_growth_apr_22,percent_growth_apr_22
Lenox,1190,704,59.15966386554621,2789,2392,85.76550735030476,26.605843484758548,156,9.062252365987618
Holland,987,242,24.51874366767984,1112,623,56.0251798561151,31.506436188435263,96,9.077267061730552
Hubbardston,1638,552,33.6996336996337,1998,1420,71.07107107107106,37.37143737143736,167,9.084359084359065
Rockland,7082,2944,41.570177915842976,6930,4921,71.01010101010101,29.439923094258038,638,9.097021777055659
Lakeville,3935,1583,40.2287166454892,4809,3376,70.20170513620296,29.972988490713764,392,9.098199241521698
Tewksbury,10958,5467,49.890490965504654,13360,10098,75.58383233532933,25.69334136982468,1104,9.105163919286795
Duxbury,4036,2714,67.2447968285431,7179,6068,84.52430700654688,17.279510178003775,469,9.114645996313186
Dennis,3039,1478,48.63441921684765,8245,6771,82.12249848392965,33.488079267082,435,9.161223480242995
Holbrook,4400,1946,44.22727272727273,4278,3166,74.0065451145395,29.77927238726678,402,9.255620723362654
Dudley,4963,1349,27.18114043925045,4377,2634,60.178204249485944,32.99706381023549,427,9.267275577449972
Deerfield,1805,1067,59.11357340720222,2424,2169,89.48019801980196,30.366624612599743,185,9.273127451249266
Taunton,22202,7385,33.26276911989911,22165,14255,64.31310624859012,31.050337128691005,2060,9.28659363801794
Easton,8680,4107,47.315668202764975,9182,7312,79.6340666521455,32.31839844938053,831,9.32556635051347
Dracut,12716,5346,42.041522491349475,12293,8829,71.82136175058976,29.779839259240283,1167,9.32786932732185
Auburn,5946,2935,49.36091490077363,7062,5185,73.42112715944492,24.06021225867129,603,9.373186203443552
Ware,3699,972,26.277372262773728,4088,2589,63.33170254403132,37.0543302812576,370,9.3878773498312
Adams,3009,1043,34.662678630774344,3674,2605,70.90364725095264,36.2409686201783,312,9.418469324380325
Lynn,43105,18059,41.8953717666164,30275,22756,75.1643270024773,33.26895523586089,3606,9.490329674308441
Ipswich,4025,2176,54.062111801242246,6702,5519,82.34855267084454,28.286440869602288,476,9.52376503908171
North Brookfield,1627,499,30.66994468346651,1909,1269,66.47459402828706,35.80464934482055,170,9.540741732865023
Weymouth,21399,10676,49.890181784195526,22776,17227,75.63663505444326,25.74645327024773,2094,9.547614591170571
Hull,3113,1367,43.91262447799551,5163,4168,80.72825876428432,36.81563428628881,380,9.566637106710587
Barnstable,13867,6992,50.42186485901782,22827,17738,77.70622508432994,27.284360225312124,1606,9.605701971772092
North Andover,10433,5615,53.8196108501869,11452,9150,79.89870764931891,26.079096799132014,1039,9.6150773833224
Sutton,2873,1562,54.36825617821093,4093,2885,70.48619594429512,16.117939766084188,325,9.63148904231403
Winchendon,4148,1063,25.626808100289296,4003,2556,63.85211091681239,38.225302816523104,392,9.67214560150282
Ashburnham,2165,852,39.353348729792145,2461,1755,71.31247460381958,31.959125874027443,225,9.68706275167439
Brookline,32075,15175,47.310989867498044,18863,12935,68.57339765678843,21.26240778929039,2716,9.710173975048946
Billerica,16931,7667,45.28379894867403,16936,12024,70.99669343410486,25.712894485430823,1646,9.720410110480088
Brookfield,1252,383,30.59105431309905,1663,951,57.1858087793145,26.59475446621545,148,9.748395351562586
Southampton,1936,924,47.72727272727273,2810,2132,75.87188612099645,28.144613393723727,229,9.756036587159187
Northfield,958,399,41.64926931106472,1400,1020,72.85714285714283,31.20787354607811,111,9.774082910826095
Spencer,4177,1598,38.25712233660522,4884,3282,67.19901719901719,28.94189486241197,444,9.780564838022343
